Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,0.01u,
C3,1206,1,0.1u,
C4,1206,1,10u,
C5,1206,1,100u,
D1,0805,1,LED,C712083
D2,D_SOD-123,1,1N4148W,
J1,WJ15EDGRC-2.54-03P-140-00A,1,~,
J2,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,C2874567
J3,Jack_3.5mm_Switronic_ST-005-G_horizontal,1,AudioJack3,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
R1,0603,1,3.3k,
R2,0603,1,220,
"R3, R4",0603,2,5.1k,
R5,0603,1,10k,
U1,DIP-28_W7.62mm,1,ATP3012XX-PU,
U3,SOT-23-5,1,TLV70030_SOT23-5,C36463
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,Resonator,C907958
